title,price,shipping,sold_date,img_link
2003 Dbz Score Ccg Saiyan Style Mastery Buu Saga Foil Ss3 Goku PSA 8 Mint,$40.29,$40.29,"Sold  Dec 6, 2022",https://i.ebayimg.com/thumbs/images/g/jhMAAOSw7VRji73a/s-l225.jpg
"Broly, The ferocious Promo Limited Foil Dbz Dragonball Score",$100.00,$100.00,"Sold  Dec 5, 2022",https://i.ebayimg.com/thumbs/images/g/7fkAAOSwbtpjhQHA/s-l225.jpg
Lost Episodes Preview Limited Foil Dbz Dbgt Goku Common Score Tcg Ccg,$228.50,$228.50,"Sold  Dec 5, 2022",https://i.ebayimg.com/thumbs/images/g/HDwAAOSw6cdjhQCD/s-l225.jpg
Goku The King Pupil Dbz Dragonball Score Limited Foil,$133.50,$133.50,"Sold  Dec 5, 2022",https://i.ebayimg.com/thumbs/images/g/jYUAAOSwxHFjhP9T/s-l225.jpg
DBZ Dragon Ball Score Vegeta Foil Season Limited Tcg Ccg,$354.00,$354.00,"Sold  Dec 5, 2022",https://i.ebayimg.com/thumbs/images/g/YckAAOSwEYZjhP1J/s-l225.jpg
Dragon Ball Z DBZ CCG X Promo Vegeta's Energy Focus X2 PSA 8 NM-MT,$76.00,$76.00,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/ZC0AAOSwuPNjhAoH/s-l225.jpg
Dragon Ball Z DBZ CCG Redemption Promo Trunks' Sword Slice TR3 PSA 9 MINT POP 1,$122.50,$122.50,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/CP4AAOSwElljhAgi/s-l225.jpg
Dragon Ball Z DBZ CCG Redemption Promo Vegeta's Energy Thrust TR2 PSA 8 NM-MT,$102.50,$102.50,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/PA4AAOSwU9VjhAfB/s-l225.jpg
Dragon Ball Z DBZ CCG Fusion Saga Vegito Lvl 1 Limited PSA 10 GEM MINT!!,$163.50,$163.50,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/IFEAAOSwhNRjhAdh/s-l225.jpg
Dragon Ball Z DBZ CCG Android Movie Subset Super Saiyan Trunks M23 PSA 8 NM-MT,$42.77,$42.77,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/KMIAAOSwHkNjhAcO/s-l225.jpg
Dragon Ball Z DBZ CCG Cosmic Anthology Subset Tree of Might CA20 PSA 8 NM-MT,$18.27,$18.27,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/JeEAAOSw-iNjhAbN/s-l225.jpg
Dragon Ball Z DBZ CCG Android 13 Movie Subset Super Android 13 M3 PSA 8 NM-MT,$18.50,$18.50,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/WqUAAOSwTI5jhAaA/s-l225.jpg
Dragon Ball Z DBZ CCG Fusion Majin Buu's New House Limited Foil #109 PSA 9 MINT!,$16.27,$16.27,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/qqsAAOSwX~RjhAYt/s-l225.jpg
Dragon Ball Z DBZ CCG Buu Saga Black Style Mastery Limited Foil #126 PSA 8 NM-MT,$34.85,$34.85,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/59IAAOSwQfFjhAWh/s-l225.jpg
Dragon Ball Z DBZ CCG Android Movie Sub Trunks Swordplay Drill M24 PSA 8 NM-MT,$40.00,$40.00,"Sold  Dec 4, 2022",https://i.ebayimg.com/thumbs/images/g/NRQAAOSw~e5jhAQ0/s-l225.jpg
DBZ Score Earth’s Spirit Bomb Ultra Rare PSA 8 Kid Buu Saga Foil,$299.99,$299.99,"Sold  Nov 30, 2022",https://i.ebayimg.com/thumbs/images/g/vpwAAOSwyS5jOHAO/s-l225.jpg
DBZ CCG PSA 8 Full Foil Majin Vegeta the Malevolent #123 Ultra Rare Limited UR,"$2,350.00","$2,350.00","Sold  Nov 28, 2022",https://i.ebayimg.com/thumbs/images/g/LTIAAOSwF7FjPa7g/s-l225.jpg
Dragonball GT SCORE Shadow Dragon Saga 2004 - Majin Destruction Ultra Rare BGS,$13.76,$13.76,"Sold  Nov 28, 2022",https://i.ebayimg.com/thumbs/images/g/jloAAOSwjrZjRTPy/s-l225.jpg
